[03/22/20 19:57:59.524][I][7761][7761][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2020-01-07 14:27:09
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[03/22/20 19:57:59.543][I][7761][7761][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[03/22/20 19:58:00.319][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.373][E][7761][7761][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680376.

[03/22/20 19:58:00.382][E][7761][7761][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498680457.

[03/22/20 19:58:00.512][E][7761][7761][DataCache4Disp.cpp][LoadRoadVectorHAD] road has no roadsection.rvId=2392467955498681194.

[03/22/20 19:58:00.614][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.630][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.641][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.666][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.767][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.810][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.824][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.864][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.878][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.889][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.927][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.967][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:00.981][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.019][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.033][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.061][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.090][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.156][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.185][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.198][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.209][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.307][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.320][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.331][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.342][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.368][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.397][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.410][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.421][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.449][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.463][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.540][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.557][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.612][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.626][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.637][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.647][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.687][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.716][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.730][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.741][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.751][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.762][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.813][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.844][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.858][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.868][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.879][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
[03/22/20 19:58:01.972][W][7761][7783][KMapmatch.cpp][FindMMRoadInfo] Mini Distance is larger than 5m, Lon:446663297,Lat:115319706
