[04/03/20 00:00:27.790][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446732462, Latitude:115248861, Altitude:1690, CarAngle:189.800003
[04/03/20 00:00:27.803][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446732462, Latitude:115248861, Altitude:1690, CarAngle:189.800003
[04/03/20 00:00:27.814][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446732462, Latitude:115248861, Altitude:1690, CarAngle:189.800003
[04/03/20 00:00:33.134][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446731871, Latitude:115248763, Altitude:1630, CarAngle:192.900009
[04/03/20 00:00:33.144][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446731871, Latitude:115248763, Altitude:1630, CarAngle:192.900009
[04/03/20 00:00:44.493][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446731137, Latitude:115248428, Altitude:1581, CarAngle:233.800003
[04/03/20 00:02:03.133][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446716982, Latitude:115234633, Altitude:1367, CarAngle:188.500000
[04/03/20 00:02:03.143][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446716982, Latitude:115234633, Altitude:1367, CarAngle:188.500000
[04/03/20 00:02:03.154][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446716982, Latitude:115234633, Altitude:1367, CarAngle:188.500000
[04/03/20 00:04:14.133][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446689833, Latitude:115259316, Altitude:1327, CarAngle:108.300003
[04/03/20 00:04:14.143][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446689833, Latitude:115259316, Altitude:1327, CarAngle:108.300003
[04/03/20 00:04:14.154][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446689833, Latitude:115259316, Altitude:1327, CarAngle:108.300003
[04/03/20 00:07:42.891][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446689680, Latitude:115259714, Altitude:1337, CarAngle:107.300003
[04/03/20 00:07:42.909][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446689680, Latitude:115259714, Altitude:1337, CarAngle:107.300003
[04/03/20 00:08:04.729][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446690034, Latitude:115260585, Altitude:1368, CarAngle:26.400000
[04/03/20 00:08:04.740][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446690034, Latitude:115260585, Altitude:1368, CarAngle:26.400000
[04/03/20 00:15:20.586][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446663297, Latitude:115319706, Altitude:1364, CarAngle:5.400000
[04/03/20 00:15:20.601][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446663297, Latitude:115319706, Altitude:1364, CarAngle:5.400000
[04/03/20 00:15:20.612][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446663297, Latitude:115319706, Altitude:1364, CarAngle:5.400000
[04/03/20 00:15:21.429][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446663298, Latitude:115319706, Altitude:1364, CarAngle:6.500000
[04/03/20 00:15:21.440][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446663298, Latitude:115319706, Altitude:1364, CarAngle:6.500000
[04/03/20 00:29:01.026][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446696243, Latitude:115268541, Altitude:1370, CarAngle:61.600002
[04/03/20 00:29:01.037][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446696243, Latitude:115268541, Altitude:1370, CarAngle:61.600002
[04/03/20 00:29:01.535][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446696344, Latitude:115268705, Altitude:1371, CarAngle:61.600002
[04/03/20 00:29:01.545][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446696344, Latitude:115268705, Altitude:1371, CarAngle:61.600002
[04/03/20 00:29:10.124][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446698008, Latitude:115271330, Altitude:1365, CarAngle:61.400002
[04/03/20 00:29:10.135][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446698008, Latitude:115271330, Altitude:1365, CarAngle:61.400002
[04/03/20 00:29:10.145][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446698008, Latitude:115271330, Altitude:1365, CarAngle:61.400002
[04/03/20 00:30:05.383][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446694451, Latitude:115282744, Altitude:1352, CarAngle:145.600006
[04/03/20 00:30:05.394][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446694451, Latitude:115282744, Altitude:1352, CarAngle:145.600006
[04/03/20 00:30:05.405][E][19164][19193][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:446694451, Latitude:115282744, Altitude:1352, CarAngle:145.600006
[04/03/20 09:47:33.748][I][15418][15418][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.9. creation datatime:2019-09-24 07:06:35
[04/03/20 09:47:33.829][I][15418][15418][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[04/03/20 09:47:33.829][I][15418][15418][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
