[04/04/20 22:01:17.027][I][3522][3522][KHighAccuracyData_ByNDS_Plugin.cpp][PrintNDSDataInfo] data version:NDS-2.5.1,LANEAUX-1.8,LANDMARK-1.3. compiler version:KMCompilerV3.11.2. creation datatime:2019-12-28 10:33:35
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Distance Threshold:20.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Altitude Threshold:2.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Angle Threshold:181.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Log:0
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Use Altitude:1
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] Dis2RouteThreshold:2.000000
[04/04/20 22:01:17.069][I][3522][3522][KMapMatchConfigAgent.cpp][ReadConfigParam] MapMatchProbabilityRange:0.300000
[04/04/20 22:01:21.427][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353799, Latitude:113801185, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.447][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353792, Latitude:113801191, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.462][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353785, Latitude:113801197, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.476][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353782, Latitude:113801200, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.486][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353778, Latitude:113801203, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.500][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353778, Latitude:113801206, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.511][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353771, Latitude:113801209, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.523][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353768, Latitude:113801212, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.546][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353765, Latitude:113801215, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.573][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353754, Latitude:113801224, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.591][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353751, Latitude:113801227, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.603][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353748, Latitude:113801230, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.694][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353724, Latitude:113801250, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.705][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353724, Latitude:113801250, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.729][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353717, Latitude:113801256, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.745][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353717, Latitude:113801259, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.757][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353710, Latitude:113801262, Altitude:2519, CarAngle:134.600006
[04/04/20 22:01:21.792][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353700, Latitude:113801271, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.805][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353697, Latitude:113801274, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.818][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353693, Latitude:113801277, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.834][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353690, Latitude:113801280, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.868][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353680, Latitude:113801289, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.882][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353676, Latitude:113801292, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.911][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353673, Latitude:113801295, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.921][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353669, Latitude:113801298, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.934][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353666, Latitude:113801301, Altitude:2518, CarAngle:134.600006
[04/04/20 22:01:21.972][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353659, Latitude:113801307, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:21.983][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353656, Latitude:113801313, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:21.998][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353649, Latitude:113801316, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.010][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353645, Latitude:113801319, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.031][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353642, Latitude:113801322, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.043][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353638, Latitude:113801325, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.071][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353632, Latitude:113801331, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.130][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353618, Latitude:113801343, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.140][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353611, Latitude:113801349, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.159][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353608, Latitude:113801352, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.173][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353604, Latitude:113801355, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.186][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353601, Latitude:113801358, Altitude:2517, CarAngle:134.600006
[04/04/20 22:01:22.203][E][3522][3551][KMapmatch.cpp][MapMatch] Mapmactch failed>>>>Longitude:449353597, Latitude:113801361, Altitude:2517, CarAngle:134.600006
